id,title,abstract,keywords,year,domain,region,method,theme
ENGG_0005,Deep Learning-Based federated learning for drug discovery: A Comparative Study,"This paper presents a novel ANSYS structural simulation for federated learning targeted at drug discovery applications. The proposed system is designed and implemented using state-of-the-art techniques in Robotics and Automation. Extensive experiments were conducted on benchmark datasets and real-world scenarios. The results demonstrate that the proposed approach achieves superior performance compared to existing methods, with improvements in accuracy, efficiency, and computational cost. The system has significant potential for deployment in Indian industrial and academic environments.","India, ANSYS structural simulation, cognitive radio networks, drug discovery, federated learning, Robotics and Automation",2016,Robotics and Automation,Tamil Nadu,ANSYS structural simulation,federated learning
GEN_0001,Socio-Economic Determinants of educational access in Rajasthan,"This paper explores educational access as it manifests among women across Rajasthan. Using meta-analysis, the study draws on data from 175 informants. The analysis situates findings within broader Mathematics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","women, India, Mathematics, educational access, gender inequality, empirical study",2012,Mathematics,Rajasthan,meta-analysis,educational access
GEN_0004,A Study on climate change adaptation among self-help group members in coastal regions,"This paper explores climate change adaptation as it manifests among self-help group members across coastal regions. Using quasi-experimental study, the study draws on data from 410 informants. The analysis situates findings within broader Political Science theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","self-help group members, agricultural sustainability, Geography, climate change adaptation, Political Science, empirical study",2007,Political Science,coastal regions,quasi-experimental study,climate change adaptation
GEN_0006,Critical Analysis of social mobility in Post-Independence Madhya Pradesh,"The present research examines the relationship between social mobility and the lived experiences of school dropouts in Madhya Pradesh. Adopting a focus group discussion approach within the Zoology framework, the study collected data from 167 participants. Results indicate that social mobility is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","Zoology, India, empirical study, Madhya Pradesh, school dropouts, educational access",2006,Zoology,Madhya Pradesh,focus group discussion,social mobility
GEN_0023,Impact of educational access on rural youth: A Case Study from urban India,"This paper explores educational access as it manifests among rural youth across urban India. Using action research, the study draws on data from 483 informants. The analysis situates findings within broader Statistics theory, highlighting structural barriers and enablers. The research contributes original empirical data to an underexplored subfield and proposes a conceptual model for future inquiry.","educational access, Education, urban India, rural youth, empirical study, migration patterns",2006,Statistics,urban India,action research,educational access
GEN_0021,Critical Analysis of economic empowerment in Post-Independence urban India,"The present research examines the relationship between economic empowerment and the lived experiences of scheduled tribes in urban India. Adopting a narrative inquiry approach within the Philosophy framework, the study collected data from 85 participants. Results indicate that economic empowerment is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, Linguistics, empirical study, digital literacy, economic empowerment, urban India",2012,Philosophy,urban India,narrative inquiry,economic empowerment
GEN_0002,Factors Influencing livelihood challenges among rural youth in Madhya Pradesh,"The present research examines the relationship between livelihood challenges and the lived experiences of rural youth in Madhya Pradesh. Adopting a quasi-experimental study approach within the Philosophy framework, the study collected data from 337 participants. Results indicate that livelihood challenges is deeply embedded in local cultural and institutional structures. Policy recommendations are provided for government and civil society stakeholders.","India, agricultural sustainability, livelihood challenges, rural youth, Philosophy, Linguistics",2011,Philosophy,Madhya Pradesh,quasi-experimental study,livelihood challenges
ENG_0020,diaspora theory and partition literature: A Study of Selected travel writings,"The present research analyses the representation of partition literature in contemporary Indian writing in English, with particular focus on travel writing published between 2000 and 2024. Using diaspora theory as the theoretical lens, the study explores how selected texts negotiate questions of identity, belonging, and resistance. The research highlights the intersection of partition literature with caste, gender, and language politics in the Indian literary landscape.","partition literature, Indian writing in English, travel writing, magic realism, Kiran Desai, literary studies",2000,Feminist Literary Criticism,Jadavpur University,textual analysis,partition literature
ENG_0002,"Language, Power and ecocriticism in Chinua Achebe's Works","This research undertakes a new historicism analysis of ecocriticism in selected works of Indian women writers in English. The study focuses on how these writers use the autobiography form to articulate experiences of marginalization, resistance, and empowerment. Drawing on feminist scholarship and postcolonial theory, the analysis reveals complex negotiations of gender, caste, and class in contemporary Indian women's writing.","literary studies, postcolonial literature, Chinua Achebe, ecocriticism, mythology in modern literature, Indian writing in English",2000,Ecocriticism,Andhra Pradesh,textual analysis,ecocriticism
ENGG_0009,A Novel prototype development and testing for transformer models: An Experimental Study,This work investigates transformer models using prototype development and testing with application to drug discovery. A comprehensive dataset of 7629 samples was collected and preprocessed for training and evaluation. The proposed model integrates advanced Renewable Energy Engineering techniques to improve prediction and classification accuracy. Ablation studies and comparative evaluations confirm the superiority of the proposed approach. This research addresses a critical gap in the literature and provides a deployable solution for Indian industries.,"prototype development and testing, transformer models, drug discovery, wireless sensor networks, India, engineering research",2014,Renewable Energy Engineering,urban India,prototype development and testing,transformer models
